plan_type_id,max_du_ac,max_far,max_coverage,max_height_ft,height_imputed
1,1012,0,NULL,477,1
2,600,12,NULL,400,0
3,566.28,0,NULL,357,1
4,516.186,1.5,NULL,341,1
5,479.16,8,NULL,328,1
6,467.6166,2.5,NULL,324,1
7,444.312,2.5,NULL,316,1
8,393.7824,1.5,NULL,298,1
9,383.328,11,NULL,294,1
10,388.5552,4,NULL,296,1
11,374,5.5,NULL,290,1
12,360,4.5,NULL,285,1
13,350,7,NULL,350,0
14,350,0.5,NULL,281,1
15,321.255,8,NULL,269,1
16,313.632,1.5,NULL,266,1
17,300,9.5,NULL,260,1
18,300,6,NULL,120,0
19,300,6,NULL,100,0
20,300,6,NULL,100,0
21,300,4,NULL,90,0
22,296.208,6,NULL,258,1
23,275,9,NULL,249,1
24,275,8,NULL,249,1
25,275,8,1.000,88,0
26,275,7,NULL,249,1
27,275.64768,4,NULL,249,1
28,257.004,21,NULL,420,1
29,260,9,1.000,2200,0
30,261.36,7,NULL,242,1
31,258.4197,4.5,NULL,241,1
32,250,10,0.650,250,0
33,250,7,NULL,237,1
34,250.9056,4.5,NULL,238,1
35,250,5,NULL,237,1
36,243.936,8,NULL,234,1
37,235.224,7,NULL,230,1
38,222.156,4.6,0.850,65,0
39,217.8,7,NULL,221,1
40,200,14,NULL,280,1
41,200,5,1.000,65,0
42,200,3,NULL,60,0
43,196,0.5,NULL,210,1
44,185.13,6.5,NULL,204,1
45,185.13,0,NULL,204,1
46,174.24,7,NULL,198,1
47,176,5,0.900,770,0
48,175,6,NULL,198,1
49,175.24,5.35,0.850,99,0
50,174.24,6,NULL,198,1
51,175,5,1.000,66,0
52,174.24,5.35,0.850,99,0
53,174.24,4,0.850,55,0
54,167.2704,6.5,NULL,194,1
55,169.884,3.52,0.650,65,0
56,167.2704,5.25,NULL,194,1
57,167.2704,5,NULL,194,1
58,165,3.75,NULL,990,0
59,157,3.25,0.600,65,0
60,153.549,4.5,NULL,186,1
61,150,7.92,1.000,95,0
62,150,7,NULL,2200,0
63,150,7,1.000,1760,0
64,150,6.5,1.000,200,0
65,152.46,3.5,0.900,85,0
66,152.46,3.5,0.950,125,0
67,150,5,0.900,110,0
68,150,5,NULL,75,0
69,150,5,0.950,80,0
70,150,5,1.000,880,0
71,152,3,NULL,185,1
72,150,4.25,0.800,737,0
73,150,4,1.000,550,0
74,150,3.67,0.800,55,0
75,150,3.5,1.000,65,0
76,150,3,NULL,495,0
77,152,1,NULL,185,1
78,150,3,NULL,45,0
79,150,0,NULL,880,0
80,145,5,0.950,770,0
81,137.82384,7.5,NULL,176,1
82,139.392,5.5,NULL,177,1
83,137,5,0.900,935,0
84,139.392,0,NULL,177,1
85,137,0.5,NULL,176,1
86,130.68,6,NULL,171,1
87,130.68,4.5,NULL,171,1
88,130,4,0.850,880,0
89,130,4,0.850,880,0
90,130.68,3,1.000,48,0
91,130.68,3,0.800,65,0
92,130,3.5,NULL,171,1
93,126.324,6,NULL,169,1
94,130.68,0,NULL,171,1
95,121.968,5,NULL,166,1
96,122,4,NULL,166,1
97,120,4,1.000,75,0
98,120,3.25,0.750,44,0
99,120,3,NULL,495,0
100,116.16,4.5,1.000,75,0
101,108.9,7,NULL,157,1
102,111.078,4.25,NULL,158,1
103,108.9,5,NULL,157,1
104,110,3.5,NULL,157,1
105,108.9,2.7,NULL,132,0
106,106,3,0.900,495,0
107,107,1,NULL,155,1
108,100,5.75,NULL,150,1
109,100,5.5,NULL,200,0
110,98.4456,6,NULL,149,1
111,100,4.25,NULL,55,0
112,100,4,1.000,605,0
113,100,4,NULL,150,1
114,100,3.5,NULL,150,1
115,100,3.12,0.750,1320,0
116,100,3,NULL,150,1
117,100,3,0.700,715,0
118,100,3,NULL,75,0
119,100,3,NULL,495,0
120,100,3,0.900,605,0
121,98.01,4.75,NULL,149,1
122,98.01,4.5,NULL,149,1
123,100,2.5,NULL,150,1
124,100,2.5,1.000,50,0
125,100,2.5,0.900,65,0
126,100,2,NULL,65,0
127,100,2,0.750,150,1
128,92.565,4.5,NULL,144,1
129,92.565,4.25,NULL,144,1
130,92,3,NULL,144,1
131,91,2.5,1.000,605,0
132,91,2.5,NULL,605,0
133,87.12,4,NULL,140,1
134,87.12,2,0.900,140,0
135,85,4,NULL,138,1
136,87.12,1,0.350,50,0
137,83,4,0.950,715,0
138,82,4,NULL,136,1
139,82,2,0.900,36,0
140,76.23,7,NULL,150,0
141,80,2.5,0.650,50,0
142,78.408,4,NULL,133,1
143,78.408,3,NULL,133,1
144,80,0,NULL,134,1
145,78,2,NULL,132,1
146,75,3,1.000,715,0
147,74,4,0.850,60,0
148,75,2.5,0.900,75,0
149,75,2.5,0.750,130,1
150,75,2.25,0.600,45,0
151,73,2.73,0.800,451,0
152,72,3,0.900,605,0
153,72,2.7,0.900,40,0
154,72,2,0.900,55,0
155,72,1.5,0.900,65,0
156,70,3.5,0.700,935,0
157,72,0.5,0.900,80,0
158,69.696,2.33,0.800,35,0
159,70,1.7,NULL,125,1
160,69.696,2,0.800,35,0
161,68,3,0.700,65,0
162,68,2.5,0.750,44,0
163,70,0,NULL,125,1
164,67,2,0.850,385,0
165,65,3,1.000,605,0
166,65,2.04,0.700,35,0
167,65,2,0.800,45,0
168,62,5,NULL,118,1
169,63.298125,1.75,NULL,119,1
170,60,3,1.000,495,0
171,61,2,NULL,117,1
172,59,3,0.900,115,1
173,60,2,1.000,30,0
174,60,2,0.650,50,0
175,58.806,3,NULL,115,1
176,58.806,2.25,NULL,115,1
177,58,2.92,1.000,35,0
178,58.806,1.3,NULL,115,1
179,54.5,5,NULL,75,0
180,58,1.5,1.000,50,0
181,54,5,NULL,880,0
182,56,3,0.850,50,0
183,58,0,NULL,880,0
184,54,4,1.000,90,0
185,56.628,1.3,NULL,113,1
186,54,3.5,1.000,90,0
187,56.628,0,NULL,113,1
188,54,2.5,1.000,495,0
189,50,6.5,0.650,110,0
190,54,2,1.000,35,0
191,54,1,1.000,90,0
192,52,3,0.800,594,0
193,55,0,NULL,111,1
194,50,4,0.700,880,0
195,54,0,0.700,80,0
196,52,1.4,NULL,150,0
197,52,1.2,0.400,40,0
198,52,1,0.600,25,0
199,50,3,1.000,715,0
200,50,2,NULL,35,0
201,50.094,1.2,NULL,106,1
202,50,1.25,0.900,330,0
203,50,1,NULL,75,0
204,48,2.5,0.900,495,0
205,48,2.1,0.700,65,0
206,50.094,0,NULL,106,1
207,50.094,0,NULL,106,1
208,50,0,NULL,106,1
209,48,2,0.800,55,0
210,48,2,0.750,385,0
211,48.4,1.25,0.800,330,0
212,48,1.5,NULL,104,1
213,48,1.5,1.000,65,0
214,41,8,NULL,160,1
215,48,0.5,NULL,104,1
216,48.4,0,0.600,35,0
217,48.4,0,NULL,104,1
218,48,0,NULL,104,1
219,45,2,1.000,451,0
220,44,2,1.000,550,0
221,45,1,1.000,605,0
222,45,0.6,NULL,101,1
223,43.56,2,NULL,40,0
224,45,0.35,NULL,935,0
225,43.56,1.55,0.800,110,0
226,44,1,1.000,35,0
227,43,2,1.000,440,0
228,44,0.7,NULL,660,0
229,43.56,1,NULL,99,1
230,43.56,1,NULL,99,1
231,43.5,1,0.750,55,0
232,43.56,0.75,NULL,99,1
233,43,1,0.800,50,0
234,43.56,0,NULL,99,1
235,43.56,0,NULL,99,1
236,40,2,NULL,60,0
237,40,2,NULL,60,0
238,40.8375,1,0.750,35,0
239,40,1.5,NULL,95,1
240,40,1.5,0.800,35,0
241,40,1.5,1.000,65,0
242,37.026,4.25,NULL,91,1
243,37.026,4.25,NULL,91,1
244,40,1,NULL,85,0
245,40,0.75,NULL,95,1
246,40,0,NULL,95,1
247,35,4,NULL,89,1
248,36,3,0.750,45,0
249,38,0,NULL,92,1
250,36,2,0.850,85,0
251,37.5,0,NULL,92,1
252,36,1.5,NULL,90,1
253,36,1,0.900,35,0
254,36,1,0.800,45,0
255,35,2,1.000,715,0
256,35,1.69,0.450,45,0
257,35,1.5,0.600,45,0
258,34.848,1.6,0.800,30,0
259,36,0,0.850,880,0
260,35,1,1.000,90,0
261,36,0,0.750,45,0
262,35,1,NULL,89,1
263,35,0.8,0.900,60,0
264,35,0.8,0.650,44,0
265,35,0.5,1.000,65,0
266,34.848,0.45,NULL,33,0
267,35,0,0.700,65,0
268,34,1,NULL,65,0
269,30,3.75,1.000,45,0
270,30,3.5,NULL,82,1
271,30,2.5,0.800,660,0
272,32,0.4,NULL,85,1
273,30,2.25,0.750,35,0
274,30,2.19,0.350,75,0
275,30,2,0.800,880,0
276,26,6,NULL,120,1
277,30,2,0.800,495,0
278,30,1.5,0.900,50,0
279,30,1.5,0.850,385,0
280,30,1.4,0.500,495,0
281,30,1.31,0.450,35,0
282,30,1.25,NULL,82,1
283,30,1.25,0.800,44,0
284,30,1.25,0.350,495,0
285,30,1,0.850,35,0
286,30,1,0.350,82,1
287,30,1,1.000,385,0
288,30,0.7,0.650,40,0
289,30,0.65,0.650,35,0
290,30,0.65,0.650,50,0
291,30,0.5,0.400,60,0
292,30,0,NULL,82,1
293,30,0,NULL,82,1
294,29.5,0.21,NULL,715,0
295,29,0.6,1.000,28,0
296,29.04,0.5,NULL,35,0
297,26.136,3,NULL,77,1
298,26.136,3,NULL,77,1
299,29.1,0,NULL,25,0
300,29.04,0,NULL,81,1
301,28,1,0.850,45,0
302,29,0,NULL,495,0
303,26.62,1.5,0.750,385,0
304,27,0,0.700,45,0
305,27,0,0.850,880,0
306,25,2,NULL,75,1
307,25,1.5,NULL,75,1
308,26,0.4,NULL,660,0
309,26,0.4,NULL,60,0
310,26,0,NULL,76,1
311,25,1,0.750,385,0
312,22,4,0.750,50,0
313,25,0.8,NULL,75,1
314,25,0.7,NULL,75,1
315,25.62352941,0,NULL,76,1
316,24.5025,1,0.450,35,0
317,25,0.5,NULL,75,1
318,25,0.5,NULL,75,1
319,24.2,1.25,0.700,330,0
320,24,1.25,0.800,35,0
321,24,1.25,0.800,35,0
322,25,0,NULL,75,1
323,25,0,NULL,75,1
324,25,0,NULL,75,1
325,25,0,0.550,385,0
326,25,0,NULL,75,1
327,24,1,1.000,550,0
328,25,0,NULL,75,1
329,25,0,NULL,75,1
330,24,0.75,NULL,73,1
331,24,0.75,0.850,35,0
332,24.5,0,NULL,74,1
333,24,0.5,NULL,73,1
334,24.2,0,NULL,74,1
335,24,0,NULL,73,1
336,23,1,0.400,40,0
337,24,0,0.400,50,0
338,21.8,2,1.000,308,0
339,21.78,2,NULL,45,0
340,22,1.4,0.500,36,0
341,21.78,1.5,NULL,45,0
342,22,1,NULL,70,1
343,22,1,0.750,50,0
344,23,0,NULL,72,1
345,21.78,1,0.700,70,1
346,22,0.7,0.700,68,0
347,22,0.7,0.750,50,0
348,21.78,0.75,1.000,35,0
349,22.5,0,NULL,71,1
350,21.78,0.5,NULL,115,0
351,21.78,0.5,NULL,70,1
352,22,0,0.700,45,0
353,20,2,NULL,60,0
354,21,1,NULL,550,0
355,19.602,2.25,NULL,66,1
356,21.78,0,NULL,70,1
357,20,1.5,0.800,737,0
358,20,1.25,0.800,605,0
359,19.965,1.2,0.750,330,0
360,20,1,NULL,67,1
361,20,1,0.900,35,0
362,20,1,0.900,40,0
363,20,1,1.000,385,0
364,20,0.88,0.350,30,0
365,20,0.75,0.850,385,0
366,20,0.75,NULL,67,1
367,20,0.7,1.000,28,0
368,20,0.5,0.900,50,0
369,20,0.5,NULL,825,0
370,20,0.5,1.000,55,0
371,18,2.5,0.750,45,0
372,20,0.5,NULL,67,1
373,20,0.1,NULL,67,1
374,20,0,0.750,385,0
375,20,0,NULL,67,1
376,18,2,0.900,495,0
377,20,0,NULL,352,0
378,19,1,NULL,65,1
379,20,0,NULL,67,1
380,18,1.5,0.850,35,0
381,17.424,2,NULL,35,0
382,18,0.85,0.850,495,0
383,18,0.7,NULL,64,1
384,18,0.7,0.450,990,0
385,18,0.5,NULL,64,1
386,18.5,0,NULL,65,1
387,18,0.2,NULL,64,1
388,18.1875,0,NULL,25,0
389,18.15,0,NULL,64,1
390,17,1,1.000,385,0
391,18,0,0.850,64,1
392,18,0,NULL,64,1
393,18,0,0.700,35,0
394,16.33,1.5,NULL,35,0
395,17,0.75,NULL,62,1
396,17,0.5,NULL,62,1
397,17.4,0,NULL,63,1
398,16,1,1.000,440,0
399,16.75384615,0,NULL,61,1
400,16,0.75,1.000,40,0
401,16,0.7,1.000,35,0
402,16,0.7,NULL,60,1
403,16,0.7,NULL,60,1
404,16,0.5,1.000,35,0
405,16,0,NULL,60,1
406,16,0,NULL,60,1
407,16,0,NULL,60,1
408,15,0.8,0.750,35,0
409,15,0.665,0.600,990,0
410,15,0.58,0.350,20,0
411,15,0.5,0.600,385,0
412,15,0.5,NULL,58,1
413,15,0.45,0.450,30,0
414,14.52,0.7,NULL,45,0
415,14.52,0.5,NULL,35,0
416,15,0,0.500,385,0
417,15,0,NULL,58,1
418,14.6,0,0.750,50,0
419,14.55,0,NULL,25,0
420,14.52,0,NULL,57,1
421,13.31,1.2,0.750,330,0
422,13,1.25,0.800,330,0
423,14,0,NULL,56,1
424,14,0,NULL,264,0
425,13,0.7,1.000,35,0
426,12.1,1.5,0.800,737,0
427,13,0.5,1.000,40,0
428,13.403,0,NULL,55,1
429,13.068,0.3,NULL,35,0
430,12.1,1.25,0.800,385,0
431,12.1,1.25,NULL,52,1
432,12.1,1.25,0.700,35,0
433,13.29,0,NULL,55,1
434,12.1,1,0.800,385,0
435,12.1,1,0.900,35,0
436,13.00298507,0,NULL,54,1
437,12,1,0.850,45,0
438,12,1,0.700,330,0
439,12,1,0.700,330,0
440,12,0.8,NULL,52,1
441,12.1,0.7,0.900,35,0
442,12,0.75,0.700,35,0
443,12,0.7,NULL,52,1
444,12,0.7,0.950,33,0
445,12,0.7,NULL,52,1
446,12,0.7,0.400,33,0
447,12,0.6,0.800,495,0
448,12.1,0.5,NULL,52,1
449,12,0.5,0.900,715,0
450,12,0.5,0.850,35,0
451,12.5,0,NULL,53,1
452,12,0.5,0.500,35,0
453,12,0.5,NULL,385,0
454,12,0.5,0.500,550,0
455,12,0.4,0.850,495,0
456,12,0.4,0.600,495,0
457,12,0.2,NULL,52,1
458,12,0.18,NULL,385,0
459,12.1,0,0.700,440,0
460,12,0,0.500,495,0
461,12,0,NULL,52,1
462,12,0,NULL,52,1
463,12,0,0.600,35,0
464,11,0.5,1.000,45,0
465,10.89,0.5,0.750,35,0
466,10,1,NULL,47,1
467,10.89,0,NULL,50,1
468,10,0.7,1.000,385,0
469,10,0.58,0.350,20,0
470,10,0.5,0.850,385,0
471,10,0.4,0.400,30,0
472,10.25,0,NULL,48,1
473,8.7,1.5,NULL,44,1
474,10.13,0,NULL,48,1
475,10,0.05,NULL,47,1
476,10,0,NULL,47,1
477,10,0,NULL,47,1
478,10,0,NULL,264,0
479,10,0,NULL,47,1
480,8.7,1,NULL,44,1
481,9.68,0,NULL,47,1
482,9,0.5,0.750,35,0
483,8.712,0.6,NULL,35,0
484,9.27,0,NULL,46,1
485,8.712,0.5,NULL,35,0
486,8.712,0.5,NULL,35,0
487,9.075,0,NULL,45,1
488,9,0,0.700,990,0
489,8,1,0.850,45,0
490,9,0,0.600,35,0
491,7.3,1.5,1.000,25,0
492,8.712,0,0.750,330,0
493,8.71,0,NULL,44,1
494,8.7,0,0.700,308,0
495,8,0.7,1.000,35,0
496,8,0.5,0.550,385,0
497,8,0.4,0.600,385,0
498,4.4,4,NULL,80,1
499,8.0667,0,NULL,43,1
500,8,0.001,NULL,42,1
501,8,0,NULL,42,1
502,8,0,0.500,264,0
503,7.3,0.5,1.000,25,0
504,7.3,0.5,1.000,41,1
505,7,0.7,0.800,385,0
506,6.05,1.6,0.800,30,0
507,7,0.6,0.450,30,0
508,7.3,0,NULL,25,0
509,7.26,0,NULL,40,1
510,7.2,0,0.350,308,0
511,7,0,NULL,40,1
512,7,0,NULL,40,1
513,6.91,0,NULL,39,1
514,5.124705882,1.6,0.800,30,0
515,6.701538462,0,NULL,39,1
516,6.05,0.6,NULL,37,1
517,6,0.65,0.650,35,0
518,6.05,0.5,NULL,37,1
519,6.05,0.5,0.550,35,0
520,6,0.5,0.650,40,0
521,6.453,0,NULL,38,1
522,6.4,0,0.700,35,0
523,6.22,0,NULL,37,1
524,6.05,0,NULL,35,0
525,6,0,0.350,385,0
526,6,0,0.400,27,0
527,6,0,NULL,37,1
528,0,6,1.000,88,0
529,6,0,0.700,65,0
530,6,0,0.550,264,0
531,5.808,0,NULL,36,1
532,5.8,0,NULL,36,1
533,5.671875,0,0.750,330,0
534,5,0.5,NULL,35,1
535,5.5,0,NULL,25,0
536,5,0.5,NULL,35,1
537,5,0.5,NULL,385,0
538,5,0.5,0.850,308,0
539,5,0.5,NULL,35,1
540,5.45,0,NULL,385,0
541,5.445,0,NULL,35,1
542,5.185714286,0,NULL,35,1
543,5.1587,0,NULL,35,1
544,5.124705882,0,NULL,35,1
545,5.12,0,NULL,35,1
546,5,0,0.600,35,0
547,0,5,NULL,85,0
548,5,0,0.500,385,0
549,5,0,0.600,385,0
550,5,0,NULL,35,1
551,4.4,0.4,0.400,30,0
552,4.8,0,0.600,308,0
553,4.77,0,NULL,35,1
554,4,0.65,0.650,35,0
555,4.55,0,NULL,35,1
556,4.5375,0,NULL,35,1
557,4.5,0,0.450,30,0
558,4,0.5,NULL,84,0
559,4.4,0,NULL,25,0
560,4,0.4,NULL,35,1
561,4.4,0,NULL,27,0
562,4,0.4,0.800,385,0
563,4.36,0,NULL,35,1
564,4.356,0,NULL,35,1
565,4.3,0,NULL,35,1
566,4.04,0,NULL,35,1
567,0,4,NULL,80,1
568,4,0,NULL,385,0
569,4,0,0.400,30,0
570,0,4,1.000,550,0
571,4,0,NULL,35,0
572,3.7,0,NULL,25,0
573,3.63,0,0.750,330,0
574,3,0.5,NULL,35,1
575,0,3.5,1.000,65,0
576,3.5,0,0.300,35,0
577,0,3.5,0.700,60,0
578,3.4848,0,0.450,30,0
579,3.48,0,NULL,35,1
580,3.25,0,NULL,35,1
581,0,3.2,0.800,495,0
582,3,0,NULL,35,1
583,3,0,0.600,25,0
584,0,3,0.800,66,0
585,2,1,NULL,35,1
586,2.5,0.5,0.500,385,0
587,0,3,1.000,385,0
588,2.904,0,NULL,35,1
589,2.9,0,NULL,35,1
590,2.7,0,NULL,35,1
591,2.5,0,0.500,330,0
592,2.3232,0,NULL,35,1
593,0,2.25,0.750,385,0
594,0,2.2,NULL,44,1
595,2.2,0,0.450,35,0
596,2.18,0,NULL,35,1
597,2.178,0,NULL,35,1
598,2.15,0,NULL,35,1
599,0,2.1,0.700,385,0
600,1,1,NULL,35,1
601,2,0,0.400,385,0
602,2,0,0.350,385,0
603,0,2,NULL,40,1
604,0,2,1.000,495,0
605,0,2,1.000,45,0
606,0,2,1.000,715,0
607,0,2,NULL,40,1
608,0,1.95,0.650,35,0
609,0,1.8,0.600,45,0
610,0,1.8,0.600,36,0
611,1,0.75,NULL,35,1
612,0,1.75,NULL,35,1
613,0,1.65,0.550,30,0
614,0,1.6,0.800,30,0
615,0,1.6,0.800,30,0
616,1.555714286,0,0.750,330,0
617,0,1.5,0.500,36,0
618,0,1.5,0.800,45,0
619,0,1.5,1.000,495,0
620,0,1.5,NULL,35,1
621,1,0.5,NULL,35,0
622,0,1.5,1.000,385,0
623,1.45,0,0.450,35,0
624,0,1.4,0.700,30,0
625,0,1.35,0.450,385,0
626,0,1.3,NULL,35,1
627,0,1.25,0.800,286,0
628,1.25,0,NULL,35,1
629,1.244571429,0,NULL,35,1
630,1.24,0,NULL,35,1
631,0,1.2,0.600,25,0
632,0,1.2,1.000,45,0
633,1.14,0,NULL,35,1
634,1.1,0,NULL,35,1
635,1.089,0,NULL,35,1
636,0,1.05,0.350,30,0
637,0,1,1.000,990,0
638,0,1,NULL,45,0
639,0,1,NULL,35,1
640,1,0,0.300,352,0
641,0,1,NULL,35,1
642,0,1,NULL,35,1
643,0,1,NULL,35,1
644,0,1,0.800,385,0
645,0,1,0.600,385,0
646,1,0,NULL,35,1
647,0,1,0.700,35,0
648,0,1,NULL,35,1
649,0,1,1.000,440,0
650,0,0.9,NULL,35,1
651,0,0.9,NULL,35,1
652,0,0.8,0.850,385,0
653,0,0.8,0.400,35,0
654,0,0.8,0.650,35,1
655,0,0.8,0.850,385,0
656,0,0.75,NULL,35,1
657,0,0.75,1.000,35,0
658,0,0.75,NULL,35,1
659,0,0.75,0.250,30,0
660,0,0.75,1.000,50,0
661,0,0.75,0.750,35,1
662,0.2,0.5,NULL,35,1
663,0,0.7,1.000,75,0
664,0,0.7,NULL,35,1
665,0,0.7,NULL,35,1
666,0,0.7,NULL,50,0
667,0,0.65,0.800,35,0
668,0,0.6,1.000,25,0
669,0,0.6,NULL,35,1
670,0,0.6,0.800,25,0
671,0,0.6,NULL,85,0
672,0,0.6,1.000,25,0
673,0,0.6,0.350,55,0
674,0,0.6,1.000,990,0
675,0,0.6,NULL,125,0
676,0,0.55,0.600,33,0
677,0,0.5,1.000,10,0
678,0,0.5,0.850,40,0
679,0.5,0,NULL,35,1
680,0,0.5,NULL,495,0
681,0,0.5,NULL,385,0
682,0,0.5,1.000,385,0
683,0,0.5,1.000,495,0
684,0,0.5,1.000,385,0
685,0,0.5,0.500,35,0
686,0,0.5,NULL,35,1
687,0,0.5,0.500,35,0
688,0,0.5,1.000,100,0
689,0,0.5,1.000,385,0
690,0,0.45,NULL,35,1
691,0,0.45,NULL,35,1
692,0.43,0,NULL,35,1
693,0,0.4,NULL,605,0
694,0,0.4,0.850,385,0
695,0,0.4,1.000,550,0
696,0,0.4,NULL,45,0
697,0,0.4,NULL,385,0
698,0.4,0,NULL,35,1
699,0,0.4,0.350,35,1
700,0,0.38,0.700,660,0
701,0,0.38,NULL,825,0
702,0,0.35,0.850,75,0
703,0,0.35,NULL,50,0
704,0,0.35,0.600,660,0
705,0,0.33,0.750,75,0
706,0.2,0.1,NULL,35,1
707,0,0.3,NULL,35,0
708,0,0.3,NULL,35,1
709,0.25,0,NULL,35,1
710,0,0.25,NULL,385,0
711,0,0.25,NULL,105,0
712,0.25,0,NULL,35,1
713,0,0.2,NULL,35,1
714,0.2,0,0.750,385,0
715,0.125,0,0.350,35,0
716,0,0.1,NULL,35,1
717,0.1,0,0.350,35,0
718,0.05,0,NULL,35,1
719,0.028571429,0,0.350,35,0
720,0.025,0,NULL,35,1
1000,0,0,1.000,825,0
